row_key,team_id,athlete_id,player,short_name,jersey,position
athlete_5312010,13,5312010,Ali Assran,A. Assran,7,F
athlete_5242268,13,5242268,Peter Bandelj,P. Bandelj,9,G
athlete_5201356,13,5201356,Eric Brown,E. Brown,22,F
athlete_5312009,13,5312009,Jake Davis,J. Davis,3,G
athlete_5242266,13,5242266,Kieran Elliott,K. Elliott,4,G
athlete_5312007,13,5312007,Jess Esso Essis,J. Esso Essis,1,G
athlete_5312008,13,5312008,Braden Freeman,B. Freeman,2,F
athlete_5312011,13,5312011,Austin Goode,A. Goode,11,F
athlete_5175173,13,5175173,Jackson Mosley,J. Mosley,8,PG
athlete_5239525,13,5239525,Hamad Mousa,H. Mousa,10,G
athlete_5312012,13,5312012,Troy Plumtree,T. Plumtree,13,F
athlete_5107280,13,5107280,Aaron Price Jr.,A. Price Jr.,15,PF
athlete_5312006,13,5312006,Jason Scott,J. Scott,0,G
athlete_5105648,13,5105648,Luka Tarlac,L. Tarlac,21,G
athlete_5242267,13,5242267,Guzman Vasilic,G. Vasilic,5,G
athlete_5242269,13,5242269,Cayden Ward,C. Ward,14,G
